Pipe,DS,L_ft,D_inch,C,k,ADF_mgd,PF,PHF_gpm,V_fps,HL_ft,UHL_ft-kft,P_ft,EL_ft AD
Outfall,0,0,99,120,0,0,0,0,0,0,0,0,63.5
Holiday Rd - Holiday Rd PS to Southside Bv,,5864.1,18,80,0,0,0,0,0,0,0,0,7.5
Southside Bv - MacAurthur Ct to Atlantic Bv,,8462.8,24,80,0,0,0,0,0,0,0,0,58
Atlantic Bv - Atlantic Bv PS to Southside Bv,,1812.1,6,120,0,0,0,0,0,0,0,0,51.7
Southside Bv - Atlantic Bv to Kona Av,,2633.98,24,80,0,0,0,0,0,0,0,0,51.5
Kona Av - Bowlan PS to Southside Bv,,3699.56,16,120,0,0,0,0,0,0,0,0,44
Mill Creek Rd - Kona Av to Mill Creek PS,,3587.31,24,80,0,0,0,0,0,0,0,0,44
Mill Creek Rd - Mill Creek PS to Lone Star Rd,,1905.36,24,80,0,0,0,0,0,0,0,0,46.3
Lone Star Rd - Mill Creek Rd to Monument Rd,,4952.68,24,80,0,0,0,0,0,0,0,0,50.3
Monument Rd - Tresca Rd to Lone Star Rd,,6822.42,36,80,0,0,0,0,0,0,0,0,41
Tresca Rd - Tresca PS to Regency Square Bv,,1733.19,12,120,0,0,0,0,0,0,0,0,29
Tresca Rd - Agave PS to Regency Square Bv,,3592,36,80,0,0,0,0,0,0,0,0,29
Millcoe Rd - Trednick Py to WWTP,,3376.61,43.2,80,0,0,0,0,0,0,0,0,39.45
